date,home_team,away_team,time,match_id,attacks_home,attacks_away,attempts_on_goal_home,attempts_on_goal_away,corners_home,corners_away,dangerous_attacks_home,dangerous_attacks_away,fauls_home,fauls_away,free_kicks_home,free_kicks_away,goal_kicks_home,goal_kicks_away,offsides_home,offsides_away,penalties_home,penalties_away,possesion_home,possesion_away,red_cards_home,red_cards_away,saves_home,saves_away,shots_blocked_home,shots_blocked_away,shots_off_target_home,shots_off_target_away,shots_on_target_home,shots_on_target_away,substitutions_home,substitutions_away,throw_ins_home,throw_ins_away,treatments_home,treatments_away,yellow_cards_home,yellow_cards_away,half_time_score_home,half_time_score_away,full_time_score_home,full_time_score_away
2025-05-15,Widzew Lodz,Legia Warszawa,18:30,627703,,,19.0,10.0,6,7,,,12,17,,,,,1.0,2.0,,,55.0,45.0,0.0,2.0,3.0,2.0,9.0,4.0,8.0,1.0,2,5,,,,,,,1.0,6.0,0.0,2.0,0,2
2025-05-14,Pogon Szczecin,Motor Lublin,18:30,627587,,,16.0,14.0,7,5,,,10,11,,,,,1.0,2.0,,,55.0,45.0,,,1.0,5.0,7.0,7.0,1.0,6.0,8,1,,,,,,,1.0,2.0,1.0,0.0,3,0
2025-05-12,Puszcza Niepolomice,Stal Mielec,17:00,627334,70.0,68.0,20.0,22.0,6,6,74.0,65.0,16,8,,,,,3.0,2.0,0.0,1.0,42.0,57.0,0.0,0.0,5.0,3.0,8.0,8.0,15.0,13.0,4,9,,,,,,,3.0,1.0,0.0,3.0,2,3
2025-05-11,Legia Warszawa,Lech Poznan,15:30,627100,101.0,84.0,13.0,13.0,8,5,60.0,51.0,15,11,,,,,0.0,1.0,0.0,0.0,49.0,51.0,0.0,0.0,0.0,2.0,4.0,7.0,9.0,12.0,3,1,,,,,,,2.0,2.0,0.0,0.0,0,1
2025-05-11,GKS Katowice,Cracovia,12:45,626925,84.0,76.0,12.0,17.0,1,10,60.0,96.0,13,7,,,,,2.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,3.0,2.0,3.0,4.0,8.0,12.0,4,4,,,,,,,0.0,1.0,1.0,1.0,2,1
2025-05-11,Lechia Gdansk,Korona Kielce,10:15,626862,74.0,88.0,12.0,11.0,4,2,61.0,48.0,11,12,,,,,0.0,1.0,1.0,0.0,45.0,55.0,0.0,0.0,3.0,4.0,2.0,3.0,5.0,6.0,7,5,,,,,,,2.0,1.0,2.0,0.0,3,2
2025-05-10,Rakow Czestochowa,Jagiellonia Bialystok,18:15,626630,71.0,65.0,13.0,14.0,6,5,63.0,66.0,10,16,,,,,3.0,1.0,0.0,2.0,42.0,57.0,1.0,0.0,2.0,1.0,5.0,4.0,11.0,10.0,2,4,,,,,,,3.0,4.0,1.0,1.0,1,2
2025-05-10,Zaglebie Lubin,Widzew Lodz,15:30,626524,79.0,112.0,14.0,16.0,4,5,51.0,90.0,7,12,,,,,0.0,2.0,0.0,0.0,41.0,59.0,0.0,0.0,2.0,2.0,3.0,6.0,9.0,13.0,5,3,,,,,,,0.0,0.0,2.0,1.0,2,1
2025-05-10,RKS Radomiak 1910 SA Radom,Pogon Szczecin,12:45,626256,68.0,95.0,13.0,13.0,5,10,41.0,77.0,14,13,,,,,2.0,2.0,0.0,0.0,38.0,62.0,0.0,0.0,3.0,4.0,4.0,3.0,8.0,10.0,5,3,,,,,,,1.0,1.0,1.0,0.0,2,0
2025-05-09,Gornik Zabrze,Slask Wroclaw,18:30,626077,84.0,87.0,17.0,15.0,13,2,78.0,71.0,11,15,,,,,2.0,1.0,0.0,0.0,56.0,44.0,0.0,0.0,1.0,5.0,4.0,7.0,9.0,14.0,7,1,,,,,,,1.0,1.0,1.0,0.0,2,0
2025-05-09,Motor Lublin,Piast Gliwice,16:00,626008,74.0,62.0,11.0,18.0,10,4,64.0,39.0,16,8,,,,,2.0,2.0,0.0,1.0,55.0,45.0,0.0,0.0,3.0,1.0,4.0,7.0,9.0,10.0,2,8,,,,,,,2.0,1.0,1.0,2.0,1,4
2025-05-05,Korona Kielce,GKS Katowice,17:00,625441,82.0,87.0,22.0,13.0,3,2,61.0,59.0,10,10,,,,,2.0,1.0,0.0,0.0,40.0,60.0,0.0,1.0,0.0,1.0,6.0,5.0,19.0,12.0,3,1,,,,,,,0.0,2.0,1.0,0.0,2,1
2025-05-04,Jagiellonia Bialystok,Gornik Zabrze,15:30,625181,101.0,62.0,25.0,8.0,5,6,65.0,22.0,12,10,,,,,1.0,0.0,0.0,0.0,52.0,48.0,0.0,0.0,4.0,4.0,7.0,4.0,20.0,4.0,5,4,,,,,,,1.0,2.0,1.0,1.0,1,1
2025-05-04,Cracovia,Lechia Gdansk,12:45,625001,89.0,79.0,8.0,11.0,4,5,44.0,48.0,7,14,,,,,1.0,0.0,0.0,1.0,55.0,45.0,0.0,0.0,2.0,2.0,2.0,2.0,6.0,7.0,2,4,,,,,,,1.0,0.0,0.0,0.0,0,2
2025-05-04,Piast Gliwice,RKS Radomiak 1910 SA Radom,10:15,624934,85.0,82.0,12.0,7.0,9,6,69.0,43.0,11,12,,,,,4.0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,2.0,3.0,3.0,2.0,9.0,5.0,3,2,,,,,,,2.0,0.0,0.0,0.0,0,0
2025-05-03,Lech Poznan,Puszcza Niepolomice,18:15,624723,79.0,78.0,15.0,14.0,3,7,45.0,48.0,5,8,,,,,1.0,2.0,0.0,0.0,66.0,34.0,0.0,0.0,9.0,0.0,2.0,2.0,7.0,5.0,8,9,,,,,,,0.0,0.0,5.0,1.0,8,1
2025-05-03,Slask Wroclaw,Zaglebie Lubin,15:30,624610,108.0,101.0,13.0,18.0,2,11,54.0,79.0,7,7,,,,,2.0,1.0,0.0,0.0,46.0,54.0,0.0,0.0,8.0,3.0,6.0,6.0,7.0,9.0,6,9,,,,,,,4.0,2.0,1.0,0.0,3,1
2025-05-03,Stal Mielec,Rakow Czestochowa,12:45,624294,62.0,84.0,5.0,15.0,1,12,29.0,62.0,5,10,,,,,1.0,3.0,0.0,0.0,40.0,60.0,0.0,0.0,5.0,1.0,1.0,7.0,3.0,7.0,1,8,,,,,,,0.0,0.0,0.0,0.0,0,2
2025-04-28,Zaglebie Lubin,Stal Mielec,17:00,623490,83.0,82.0,13.0,22.0,3,5,68.0,75.0,11,12,,,,,1.0,3.0,0.0,0.0,42.0,57.0,0.0,0.0,6.0,2.0,6.0,3.0,9.0,14.0,3,8,,,,,,,4.0,1.0,1.0,0.0,2,2
2025-04-27,RKS Radomiak 1910 SA Radom,Lech Poznan,15:30,623217,80.0,66.0,16.0,4.0,12,1,69.0,40.0,9,10,,,,,0.0,2.0,0.0,0.0,47.0,53.0,0.0,0.0,0.0,1.0,8.0,2.0,12.0,2.0,3,2,,,,,,,0.0,0.0,0.0,2.0,2,2
2025-04-27,Gornik Zabrze,Widzew Lodz,12:45,622995,94.0,80.0,9.0,9.0,5,5,75.0,69.0,8,9,11.0,11.0,,,3.0,2.0,0.0,0.0,50.0,50.0,0.0,0.0,3.0,1.0,2.0,2.0,8.0,6.0,1,3,,,,,,,2.0,2.0,0.0,0.0,0,0
2025-04-27,Korona Kielce,Jagiellonia Bialystok,10:15,622897,66.0,99.0,10.0,15.0,2,5,53.0,71.0,15,15,16.0,0.0,,,0.0,1.0,0.0,1.0,37.0,63.0,0.0,0.0,3.0,3.0,2.0,3.0,4.0,11.0,6,4,,,,,,,3.0,3.0,1.0,1.0,3,1
2025-04-26,GKS Katowice,Legia Warszawa,18:15,622676,83.0,94.0,17.0,22.0,4,7,79.0,94.0,11,12,5.0,6.0,,,3.0,1.0,0.0,0.0,45.0,55.0,0.0,0.0,5.0,5.0,4.0,6.0,10.0,14.0,6,8,,,,,,,0.0,2.0,0.0,2.0,1,3
2025-04-26,Motor Lublin,Cracovia,15:30,622531,106.0,91.0,8.0,14.0,6,4,79.0,55.0,14,11,,,,,2.0,3.0,0.0,0.0,56.0,43.0,1.0,1.0,4.0,2.0,2.0,5.0,7.0,7.0,2,6,,,,,,,4.0,4.0,0.0,0.0,0,1
2025-04-26,Lechia Gdansk,Piast Gliwice,12:45,622024,58.0,56.0,11.0,11.0,4,3,36.0,38.0,15,10,10.0,16.0,,,1.0,1.0,0.0,0.0,43.0,56.0,0.0,0.0,3.0,3.0,1.0,2.0,5.0,8.0,6,3,,,,,,,0.0,1.0,2.0,0.0,3,1
2025-04-25,Rakow Czestochowa,Slask Wroclaw,18:30,621802,85.0,88.0,14.0,16.0,4,4,68.0,83.0,7,12,,,,,2.0,3.0,0.0,0.0,39.0,61.0,0.0,0.0,6.0,5.0,4.0,2.0,5.0,9.0,9,6,,,,,,,0.0,3.0,2.0,0.0,3,0
2025-04-25,Puszcza Niepolomice,Pogon Szczecin,16:00,621736,55.0,87.0,10.0,18.0,1,5,30.0,45.0,14,14,,,,,0.0,1.0,0.0,1.0,30.0,70.0,1.0,1.0,5.0,0.0,2.0,6.0,6.0,8.0,4,9,,,,,,,4.0,1.0,1.0,2.0,4,5
2025-04-22,Stal Mielec,Gornik Zabrze,17:00,621228,92.0,80.0,7.0,10.0,4,6,70.0,71.0,16,7,,,,,3.0,1.0,0.0,0.0,47.0,53.0,1.0,0.0,3.0,2.0,1.0,2.0,5.0,7.0,2,3,,,,,,,4.0,0.0,0.0,0.0,0,0
2025-04-21,Lech Poznan,Cracovia,18:15,621127,57.0,62.0,22.0,8.0,7,3,33.0,32.0,11,9,,,,,1.0,4.0,0.0,0.0,50.0,50.0,0.0,0.0,2.0,7.0,2.0,2.0,12.0,5.0,10,3,,,,,,,2.0,3.0,1.0,0.0,2,1
2025-04-21,Legia Warszawa,Lechia Gdansk,15:30,621071,75.0,75.0,15.0,11.0,9,2,80.0,37.0,7,8,0.0,0.0,,,2.0,0.0,1.0,0.0,55.0,45.0,0.0,0.0,2.0,1.0,4.0,2.0,11.0,8.0,4,3,,,,,,,1.0,2.0,1.0,1.0,2,1
2025-04-21,Jagiellonia Bialystok,Zaglebie Lubin,12:45,620787,80.0,79.0,17.0,13.0,13,2,90.0,41.0,8,12,0.0,3.0,,,2.0,0.0,0.0,2.0,62.0,38.0,0.0,0.0,4.0,3.0,6.0,1.0,13.0,6.0,4,7,,,,,,,2.0,3.0,1.0,1.0,1,3
2025-04-21,Puszcza Niepolomice,RKS Radomiak 1910 SA Radom,10:15,620754,66.0,77.0,9.0,14.0,5,6,53.0,42.0,16,12,0.0,10.0,,,3.0,0.0,0.0,0.0,47.0,53.0,0.0,0.0,3.0,1.0,3.0,4.0,7.0,9.0,2,5,,,,,,,4.0,3.0,0.0,0.0,2,2
